episode,step,potato_index,angle,x,y,reward,tower_height,contacts,dx,dy,potatoes_used
25,1,2,30.0,400.00,500.00,93.09,31.61,1,0.00,0.00,1
25,2,0,330.0,399.86,468.39,89.97,31.63,1,1.78,-52.30,2
25,4,4,0.0,397.52,416.06,90.54,31.86,1,12.91,-52.97,3
26,1,1,30.0,400.00,500.00,68.44,24.22,1,0.00,0.00,1
26,2,0,180.0,388.80,475.78,34.34,24.22,1,118.98,-1.51,2
26,3,2,0.0,269.89,474.28,44.79,24.22,1,111.14,-7.13,3
27,1,3,180.0,400.00,500.00,66.77,22.20,1,0.00,0.00,1
27,2,1,0.0,392.36,477.80,53.03,22.13,1,4.97,-51.14,2
27,3,4,240.0,387.62,426.74,28.00,22.13,1,150.57,30.75,3
27,5,0,150.0,234.45,458.36,62.74,22.13,1,4.85,-52.76,4
28,1,2,0.0,400.00,500.00,88.32,32.70,1,0.00,0.00,1
28,3,3,0.0,392.91,467.30,44.61,30.05,1,125.39,2.09,2
28,4,1,300.0,538.56,469.95,67.23,30.16,1,7.99,-57.50,3
28,5,0,210.0,531.47,412.34,89.32,30.16,2,61.77,43.26,4
29,1,4,150.0,400.00,500.00,97.62,35.60,1,0.00,0.00,1
29,2,3,240.0,396.42,464.40,64.59,35.32,1,65.30,-14.99,2
29,3,2,90.0,466.61,449.68,94.53,35.31,2,28.49,-51.97,3
29,4,0,240.0,441.26,397.60,90.15,35.34,1,5.17,-47.53,4
30,1,4,240.0,400.00,500.00,101.68,35.87,1,0.00,0.00,1
30,2,0,0.0,400.05,464.13,20.77,26.86,1,205.74,9.06,2
30,3,3,150.0,198.54,473.14,55.00,26.89,1,64.94,-28.91,3
30,5,1,150.0,263.62,444.21,70.79,26.89,1,4.75,-60.17,4
31,1,1,30.0,400.00,500.00,68.44,24.22,1,0.00,0.00,1
31,2,2,30.0,388.80,475.78,31.70,24.23,1,125.18,-8.61,2
31,3,4,270.0,263.90,467.16,72.41,24.23,2,63.83,-16.41,3
32,1,4,240.0,400.00,500.00,101.68,35.87,1,0.00,0.00,1
32,2,0,120.0,400.05,464.13,32.91,27.41,1,150.04,9.49,2
32,3,3,150.0,245.15,472.59,65.05,27.39,1,5.59,-43.04,3
32,5,2,330.0,250.75,429.57,72.62,27.40,1,3.46,-57.45,4
33,1,3,90.0,400.00,500.00,68.14,29.07,1,0.00,0.00,1
33,3,1,150.0,446.60,470.93,57.93,29.10,1,2.17,-49.15,2
34,1,2,300.0,400.00,500.00,82.03,31.01,1,0.00,0.00,1
34,4,1,0.0,380.70,468.99,71.92,31.01,1,2.67,-47.83,2
35,1,3,240.0,400.00,500.00,53.08,21.54,1,0.00,0.00,1
35,3,0,180.0,356.95,478.46,17.15,21.59,1,175.92,-4.19,2
35,4,1,330.0,183.16,474.22,66.88,21.64,2,77.17,-4.80,3
36,1,3,210.0,400.00,500.00,62.39,21.20,1,0.00,0.00,1
36,2,2,180.0,377.85,478.80,48.78,21.20,1,8.81,-59.33,2
36,3,4,120.0,370.58,419.46,63.28,21.28,2,82.03,-14.37,3
37,1,0,330.0,400.00,500.00,78.29,28.28,1,0.00,0.00,1
37,2,2,270.0,391.73,471.72,82.95,28.33,1,5.93,-49.47,2
37,3,4,150.0,397.37,422.20,83.57,28.28,2,61.43,-3.58,3
38,1,3,300.0,400.00,500.00,60.89,25.44,1,0.00,0.00,1
38,2,1,30.0,306.97,474.56,48.94,25.69,1,15.18,-47.02,2
38,3,0,60.0,291.74,427.30,46.19,25.71,1,81.48,44.62,3
38,4,2,90.0,209.92,472.06,71.34,25.71,1,0.01,-50.38,4
38,5,4,60.0,209.88,421.68,45.61,25.63,2,57.93,-45.34,5
39,1,1,0.0,400.00,500.00,76.48,24.21,1,0.00,0.00,1
39,2,4,30.0,401.95,475.79,16.21,24.21,1,190.66,-20.42,2
39,3,3,330.0,209.56,455.36,40.58,24.21,1,122.61,16.65,3
39,4,2,180.0,96.43,472.01,66.90,24.21,1,2.58,-55.07,4
40,1,4,90.0,400.00,500.00,82.48,36.24,1,0.00,0.00,1
40,2,2,150.0,434.05,463.76,56.10,32.11,1,86.47,4.09,2
40,3,1,150.0,352.11,467.89,100.24,32.14,2,26.60,-43.63,3
40,5,0,300.0,378.06,424.23,109.45,32.08,2,48.99,-24.59,4
41,1,0,270.0,400.00,500.00,72.25,24.72,1,0.00,0.00,1
41,2,2,330.0,392.81,475.28,75.65,24.73,1,4.04,-54.70,2
41,4,4,330.0,397.93,420.57,74.87,24.77,1,14.54,-58.79,3
42,1,0,330.0,400.00,500.00,78.29,28.28,1,0.00,0.00,1
42,2,2,240.0,391.73,471.72,45.32,28.32,1,101.50,-5.10,2
42,3,4,330.0,291.72,466.58,79.65,28.31,2,49.10,-35.75,3
42,4,1,150.0,337.33,430.82,74.83,28.33,1,0.95,-58.24,4
43,1,2,330.0,400.00,500.00,85.36,32.68,1,0.00,0.00,1
43,2,4,30.0,428.22,467.32,72.99,32.66,1,0.96,-60.69,2
43,3,3,30.0,425.00,406.65,71.32,32.75,1,10.84,-60.01,3
44,1,4,30.0,400.00,500.00,95.37,37.68,1,0.00,0.00,1
44,2,1,210.0,381.16,462.32,82.48,37.70,1,6.83,-57.77,2
44,3,3,150.0,386.12,404.53,99.86,37.72,2,56.37,-21.50,3
44,4,0,0.0,495.74,440.46,110.70,37.41,2,33.24,-37.30,4
45,1,3,210.0,400.00,500.00,62.39,21.20,1,0.00,0.00,1
45,2,0,240.0,377.85,478.80,50.76,21.21,1,5.09,-53.18,2
45,3,1,240.0,372.95,425.61,67.05,21.20,2,51.31,25.42,3
45,4,2,270.0,269.34,474.94,62.10,21.20,1,4.11,-47.38,4
45,5,4,150.0,265.27,427.51,74.71,21.20,1,101.36,-12.11,5
46,1,4,240.0,400.00,500.00,101.68,35.87,1,0.00,0.00,1
46,2,0,60.0,400.05,464.13,34.36,27.95,1,148.83,8.87,2
46,4,2,240.0,248.68,472.05,61.57,27.96,1,66.31,-5.45,3
47,1,0,210.0,400.00,500.00,70.05,25.03,1,0.00,0.00,1
47,3,3,30.0,417.04,474.97,32.75,25.03,1,130.48,-6.06,2
47,4,4,90.0,286.27,468.91,55.34,25.03,1,12.85,-60.71,3
48,1,4,180.0,400.00,500.00,96.13,35.63,1,0.00,0.00,1
48,3,1,180.0,394.87,464.37,89.61,35.59,1,5.52,-60.43,2
49,1,0,330.0,400.00,500.00,78.29,28.28,1,0.00,0.00,1
49,2,3,210.0,391.73,471.72,75.21,28.29,2,40.19,-16.69,2
49,3,2,0.0,351.72,455.02,52.72,28.37,1,108.22,11.91,3
49,5,4,90.0,459.84,467.53,72.82,28.37,1,4.08,-65.55,4
50,1,0,180.0,400.00,500.00,71.14,23.87,1,0.00,0.00,1
50,2,1,30.0,393.40,476.13,33.73,23.87,1,117.00,-3.07,2
50,3,2,0.0,276.92,473.06,54.95,23.87,1,20.72,-43.25,3
51,1,3,120.0,400.00,500.00,73.33,26.67,1,0.00,0.00,1
51,2,4,240.0,423.48,473.33,41.77,26.67,1,84.24,-23.59,2
51,4,2,180.0,340.38,449.74,89.85,26.89,2,52.63,-25.73,3
51,5,1,330.0,391.75,423.61,51.68,26.81,1,123.99,35.71,4
52,1,0,90.0,400.00,500.00,69.79,24.89,1,0.00,0.00,1
52,2,2,210.0,425.27,475.11,42.76,24.91,1,77.03,-8.28,2
52,4,4,270.0,347.47,466.81,57.26,24.91,1,3.42,-59.38,3
52,5,1,330.0,341.77,407.45,60.19,24.91,1,85.09,13.06,4
53,1,2,30.0,400.00,500.00,93.09,31.61,1,0.00,0.00,1
53,2,0,60.0,399.86,468.39,39.98,27.23,1,118.08,4.36,2
53,3,3,330.0,518.04,472.77,51.82,27.24,1,112.61,-0.74,3
53,4,1,60.0,632.70,472.01,68.98,27.24,1,16.09,-61.44,4
54,1,4,90.0,400.00,500.00,82.48,36.24,1,0.00,0.00,1
54,3,3,240.0,434.05,463.76,68.87,37.44,1,67.10,-12.91,2
54,5,2,300.0,507.04,449.66,98.24,37.42,2,32.21,-50.79,3
55,1,1,0.0,400.00,500.00,76.48,24.21,1,0.00,0.00,1
55,5,2,330.0,401.95,475.79,28.63,24.22,1,142.23,-6.79,2
56,1,4,0.0,400.00,500.00,103.67,36.84,1,0.00,0.00,1
56,2,3,270.0,400.01,463.16,92.71,36.85,1,6.22,-81.03,2
56,5,0,270.0,403.54,382.12,18.25,28.01,1,265.69,23.21,3
57,1,4,240.0,400.00,500.00,101.68,35.87,1,0.00,0.00,1
57,4,2,150.0,400.05,464.13,38.69,31.46,1,166.72,4.47,2
57,5,3,120.0,569.08,468.54,54.24,31.31,1,141.67,0.19,3
